mcs,mod_order,bits_per_sym,code_rate_num,code_rate_den,nominal_se
0,4,2,1,2,1.000000
1,4,2,2,3,1.333333
2,4,2,3,4,1.500000
3,16,4,1,2,2.000000
4,16,4,2,3,2.666667
5,16,4,3,4,3.000000
6,64,6,1,2,3.000000
7,64,6,2,3,4.000000
8,64,6,3,4,4.500000
