snrDb,modulation,berZf,berMmse,berCodedHard,berCodedSoft,evmZf,evmMmse,sinrZf,sinrMmse,mseLs,mseWiener,capacityBpsHz,throughputBits,spectralEff
0,QPSK,0.448785869891827,0.253256460336538,0.493121431790865,0.477988656850962,981.574453150511,83.4285263453619,-19.3614680265213,1.57385319697752,1.71054648236944,0.215965589201687,13.4155279301369,2076.17461538462,8.11005709134615
2,QPSK,0.432520188551683,0.210873741736779,0.47057861328125,0.4084765625,888.09403188779,78.1362824877711,-18.5437875892417,2.14316015493989,1.09755155592659,0.152462298396266,17.8615942871122,2168.51,8.4707421875
4,QPSK,0.412274827223558,0.169373497596154,0.397267878605769,0.239349459134615,900.531950037657,72.4520965079354,-18.203348421122,2.7992591986459,0.718771625032952,0.104429298112,23.1792038493169,2468.79076923077,9.64371394230769
6,QPSK,0.386222299429087,0.131323523888221,0.250040189302885,0.0739836237980769,687.087637247819,66.7350458563797,-16.2660382072474,3.51326342081723,0.482678258907516,0.0699403083539462,29.2222299751393,3071.83538461538,11.9993569711538
8,16-QAM,0.42529536320613,0.228091900165264,0.485544245793269,0.437528357872596,578.965525628235,60.9666332813526,-14.8156219175277,4.29850933458552,0.326511418243789,0.045763683343085,36.1201398042665,4214.42153846154,16.4625841346154
10,16-QAM,0.403009455754207,0.197472862830529,0.459904033954327,0.351549072265625,611.319857160731,55.5512261662219,-13.9529939122934,5.10664960050972,0.230288931357752,0.0296575519616801,43.6135643642962,4424.46615384615,17.2830709134615
12,16-QAM,0.377831702599159,0.168986299954928,0.401221454326923,0.22226571890024,440.955529283594,50.4544640534333,-11.9829805839781,5.94269488417159,0.16834781823665,0.0189925769080819,51.5704475670877,4905.19384615385,19.1609134615385
14,16-QAM,0.348311720628005,0.141977351262019,0.302549673227163,0.106370192307692,332.84454651786,45.5867509288327,-10.0594807230303,6.82409791362011,0.130884407516936,0.0122117825448872,60.1379373913414,5713.51307692308,22.3184104567308
16,16-QAM,0.310905151367187,0.116127131535457,0.188215801532452,0.0423165189302885,265.971230040164,41.0293324079288,-8.0572333612425,7.73958313300003,0.105716094054744,0.00779489305466421,69.0664872829189,6650.13615384615,25.9770943509615
18,64-QAM,0.346004920372596,0.187926338391426,0.430602213541667,0.265980255909455,241.703860949125,36.9391854417539,-7.13871234110322,8.6517893198567,0.0928765503033553,0.00493541190838176,78.2676822483951,6996.76,27.33109375
20,64-QAM,0.317331261268029,0.163601700220353,0.364415189302885,0.169628405448718,210.969541661119,33.0891999797869,-5.7791876837248,9.60810094033226,0.0827978549997033,0.00310527242748924,87.7925305782759,7810.06615384615,30.5080709134615
22,64-QAM,0.28986572265625,0.141072904146635,0.281931653145032,0.101129557291667,185.141895814964,29.7150664932383,-4.76885851425533,10.5424408404934,0.0761253368367422,0.00196063446292245,97.4362733918511,8823.62384615385,34.4672806490385
24,64-QAM,0.261534893329327,0.118656819661458,0.196413386418269,0.0566984049479167,169.531863387611,26.4848666518604,-3.77480659148725,11.543788260898,0.0726672600708449,0.00124094636909997,107.372219317828,9874.47230769231,38.5721574519231
26,64-QAM,0.236965707632212,0.0972164525741186,0.128182279146635,0.0323796198918269,160.164537623955,23.5333845685733,-3.24646536915688,12.5719346685343,0.0707152878241313,0.000785932156799182,117.681446767575,10712.8961538462,41.8472506009615
28,64-QAM,0.215447434645433,0.07744140625,0.0812767302684295,0.0187906275040064,147.993138385724,20.8455042069367,-2.45053432476579,13.6282216699101,0.0677703946437253,0.000493892175947245,127.760829765166,11289.2715384615,44.0987169471154
30,64-QAM,0.200345427684295,0.0603304662459936,0.0515641276041667,0.0113548552684295,145.955076137703,18.5251147855296,-2.16775859912768,14.6547861914244,0.0671540525836597,0.000311114448081801,138.020191525198,11654.38,45.524921875
