McsIndex,SnrDb,EffectiveSinrDb,MeasuredBler,TotalBlocks,FailedBlocks,SuccessfulBlocks,CiLow95,CiHigh95,EesmBeta,Mapping
0,4,-1.97321595178594,1,112,112,0,0.966837474620516,1,1.5,minimum
0,6,-0.680873803612267,1,112,112,0,0.966837474620516,1,1.5,minimum
0,8,0.444898810559957,0.8125,128,104,24,0.736149272773117,0.870639479790566,1.5,minimum
0,10,1.51516276139107,0.260416666666667,384,100,284,0.219047932886438,0.306531582049557,1.5,minimum
0,12,2.28970143846067,0.04,2000,80,1920,0.0322566194460063,0.0495071287464656,1.5,minimum
0,14,3.12575647378542,0.0025,2000,5,1995,0.00106829296910572,0.00583923904340465,1.5,minimum
0,16,3.90009060847898,0,2000,0,2000,0,0.00191711760051293,1.5,minimum
1,6,-0.77856081562344,1,112,112,0,0.966837474620516,1,1.6,minimum
1,8,0.541118606572978,1,112,112,0,0.966837474620516,1,1.6,minimum
1,10,1.33141388818517,0.946428571428571,112,106,6,0.888028346415613,0.975219398781277,1.6,minimum
1,12,2.39818113269914,0.64375,160,103,57,0.566972346597215,0.713786630365901,1.6,minimum
1,14,3.08388337705313,0.297619047619048,336,100,236,0.25124198052168,0.348571579678131,1.6,minimum
1,16,3.87911953420175,0.0529661016949153,1888,100,1788,0.0437406905164638,0.0640070194398031,1.6,minimum
1,18,4.57886412254752,0.0085,2000,17,1983,0.00531372264014279,0.0135708039611614,1.6,minimum
1,20,5.18607139762371,0.001,2000,2,1998,0.000274273176083379,0.00363901018922853,1.6,minimum
1,22,5.74787297751474,0,2000,0,2000,0,0.00191711760051293,1.6,minimum
2,8,0.441295532220882,1,112,112,0,0.966837474620516,1,1.7,minimum
2,10,1.32957919338095,1,112,112,0,0.966837474620516,1,1.7,minimum
2,12,2.27916788490281,0.973214285714286,112,109,3,0.924193264073401,0.990849345835301,1.7,minimum
2,14,3.09492336549339,0.8046875,128,103,25,0.727557725136866,0.864061308612724,1.7,minimum
2,16,4.01396492689401,0.315625,320,101,219,0.267144891951815,0.368479437967504,1.7,minimum
2,18,4.53714002985553,0.107758620689655,928,100,828,0.0894009820491045,0.129350359380598,1.7,minimum
2,20,5.20164306403189,0.024,2000,48,1952,0.0181494638820871,0.0316756320736012,1.7,minimum
2,22,5.80537911255965,0.0075,2000,15,1985,0.00455033645617224,0.012338024380333,1.7,minimum
2,24,6.29401647505204,0.0035,2000,7,1993,0.00169641004556232,0.00720728773174702,1.7,minimum
3,12,2.34685575290032,1,112,112,0,0.966837474620516,1,4.5,minimum
3,14,3.03797430391766,1,112,112,0,0.966837474620516,1,4.5,minimum
3,16,3.92051031655979,0.991071428571429,112,111,1,0.951150333804964,0.998422185911615,4.5,minimum
3,18,4.60004383595558,0.84375,128,108,20,0.7709503846481,0.896517243171951,4.5,minimum
3,20,5.16987550504828,0.526041666666667,192,101,91,0.455595715102246,0.59546595923048,4.5,minimum
