McsIndex,SnrDb,EffectiveSinrDb,MeasuredBler,TotalBlocks,FailedBlocks,SuccessfulBlocks,CiLow95,CiHigh95,EesmBeta,Mapping
0,4,0.520511740355247,0.990384615384615,104,103,1,0.947530993323053,0.998300670895579,1.5,eesm
0,6,1.88233512892608,0.955357142857143,112,107,5,0.89972967462653,0.980783025474297,1.5,eesm
0,8,3.13214413825848,0.64375,160,103,57,0.566972346597215,0.713786630365901,1.5,eesm
0,10,4.21592254876408,0.286931818181818,352,101,251,0.242177457532615,0.336286668078331,1.5,eesm
0,12,5.17459180355206,0.0791139240506329,1264,100,1164,0.0654768426517425,0.0953016015955515,1.5,eesm
0,14,6.09321743566811,0.0165,2000,33,1967,0.0117727511221759,0.0230811015975202,1.5,eesm
0,16,6.87615808709825,0.0025,2000,5,1995,0.00106829296910572,0.00583923904340465,1.5,eesm
1,6,1.89530800952728,1,104,104,0,0.964377383124879,1,1.6,eesm
1,8,3.16235865739258,1,104,104,0,0.964377383124879,1,1.6,eesm
1,10,4.28813171436456,0.858333333333333,120,103,17,0.784803512725837,0.90963195968408,1.6,eesm
1,12,5.17487474853685,0.657894736842105,152,100,52,0.579415278881789,0.728589772401053,1.6,eesm
1,14,6.16607083317092,0.277777777777778,360,100,260,0.23404035963795,0.326207836280273,1.6,eesm
1,16,6.93427925282504,0.119103773584906,848,101,747,0.0990016745871336,0.142641372664844,1.6,eesm
1,18,7.65029629393311,0.037,2000,74,1926,0.029575183198913,0.046200067699162,1.6,eesm
1,20,8.29832710173805,0.012,2000,24,1976,0.00807709618377981,0.0177940105943208,1.6,eesm
1,22,8.82168736069335,0.0015,2000,3,1997,0.00051025434865193,0.00440111189905947,1.6,eesm
2,8,3.20574452675811,1,104,104,0,0.964377383124879,1,1.7,eesm
2,10,4.34757792924544,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,1.7,eesm
2,12,5.3502839823028,0.910714285714286,112,102,10,0.84340892445953,0.950779001121608,1.7,eesm
2,14,6.29862252328566,0.694444444444444,144,100,44,0.614965893396835,0.763817885999492,1.7,eesm
2,16,7.05040173744971,0.403225806451613,248,100,148,0.344098128834152,0.465305877493635,1.7,eesm
2,18,7.76992275184912,0.181159420289855,552,100,452,0.151268076242464,0.215457983843719,1.7,eesm
2,20,8.35419801374726,0.0892857142857143,1120,100,1020,0.0739587222247608,0.107420575355966,1.7,eesm
2,22,8.96319244627603,0.03,2000,60,1940,0.0233777478065314,0.0384243427379508,1.7,eesm
2,24,9.49776778122853,0.015,2000,30,1970,0.0105270301204456,0.0213325739520519,1.7,eesm
3,12,5.82910222966001,1,104,104,0,0.964377383124879,1,4.5,eesm
3,14,6.9707175047996,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,4.5,eesm
3,16,8.04219183154294,0.892857142857143,112,100,12,0.822017523176338,0.937640492596924,4.5,eesm
3,18,9.07168674942327,0.722222222222222,144,104,40,0.64401655193342,0.788879195948096,4.5,eesm
3,20,9.90264940059264,0.459821428571429,224,103,121,0.395780642484348,0.525217103317999,4.5,eesm
3,22,10.6966786196766,0.217672413793103,464,101,363,0.182524839973764,0.257456555438701,4.5,eesm
3,24,11.3779941595411,0.0874125874125874,1144,100,1044,0.0723956716949752,0.105191200918807,4.5,eesm
3,26,12.0555728921725,0.046,2000,92,1908,0.037656884800935,0.0560838579803307,4.5,eesm
3,28,12.6638642530916,0.0185,2000,37,1963,0.0134512715327923,0.0253949127165016,4.5,eesm
4,14,7.07820917047852,1,104,104,0,0.964377383124879,1,5.5,eesm
4,16,8.40241901371139,1,104,104,0,0.964377383124879,1,5.5,eesm
4,18,9.17067429273889,0.990384615384615,104,103,1,0.947530993323053,0.998300670895579,5.5,eesm
4,20,10.1200528323292,0.961538461538462,104,100,4,0.90525107722347,0.984943430276419,5.5,eesm
4,22,10.9340218736747,0.891666666666667,120,107,13,0.823444919947261,0.935589201058928,5.5,eesm
4,24,11.7092005380091,0.701388888888889,144,101,43,0.622198753225917,0.770113018291707,5.5,eesm
4,26,12.4580250125082,0.360714285714286,280,101,179,0.306701670787118,0.418497172511398,5.5,eesm
4,28,13.0234721809518,0.208333333333333,480,100,380,0.174387878646314,0.246910331346378,5.5,eesm
4,30,13.6709200914552,0.108695652173913,920,100,820,0.0901856188272417,0.130459998343494,5.5,eesm
5,16,8.34884239580781,1,104,104,0,0.964377383124879,1,6.5,eesm
5,18,9.52002978077633,1,104,104,0,0.964377383124879,1,6.5,eesm
