McsIndex,SnrDb,EffectiveSinrDb,MeasuredBler,TotalBlocks,FailedBlocks,SuccessfulBlocks,CiLow95,CiHigh95,EesmBeta,Mapping
0,4,0.310254114104973,1,112,112,0,0.966837474620516,1,1.5,eesm
0,6,1.76116239003343,1,112,112,0,0.966837474620516,1,1.5,eesm
0,8,3.01819146301313,0.8125,128,104,24,0.736149272773117,0.870639479790566,1.5,eesm
0,10,4.2155086405475,0.260416666666667,384,100,284,0.219047932886438,0.306531582049557,1.5,eesm
0,12,5.26693450884805,0.04,2000,80,1920,0.0322566194460063,0.0495071287464656,1.5,eesm
0,14,6.22889544867246,0.0025,2000,5,1995,0.00106829296910572,0.00583923904340465,1.5,eesm
0,16,7.09727203189943,0,2000,0,2000,0,0.00191711760051293,1.5,eesm
1,6,1.72433137213221,1,112,112,0,0.966837474620516,1,1.6,eesm
1,8,3.10754217946737,1,112,112,0,0.966837474620516,1,1.6,eesm
1,10,4.24579927869242,0.946428571428571,112,106,6,0.888028346415613,0.975219398781277,1.6,eesm
1,12,5.30639393530471,0.64375,160,103,57,0.566972346597215,0.713786630365901,1.6,eesm
1,14,6.23651709371297,0.297619047619048,336,100,236,0.25124198052168,0.348571579678131,1.6,eesm
1,16,7.14763721961384,0.0529661016949153,1888,100,1788,0.0437406905164638,0.0640070194398031,1.6,eesm
1,18,7.92910691172607,0.0085,2000,17,1983,0.00531372264014279,0.0135708039611614,1.6,eesm
1,20,8.59298825886854,0.001,2000,2,1998,0.000274273176083379,0.00363901018922853,1.6,eesm
1,22,9.18608762945844,0,2000,0,2000,0,0.00191711760051293,1.6,eesm
2,8,3.12178808730187,1,112,112,0,0.966837474620516,1,1.7,eesm
2,10,4.21657134147509,1,112,112,0,0.966837474620516,1,1.7,eesm
2,12,5.31474946071839,0.973214285714286,112,109,3,0.924193264073401,0.990849345835301,1.7,eesm
2,14,6.25263948598933,0.8046875,128,103,25,0.727557725136866,0.864061308612724,1.7,eesm
