MCS_Index,Modulation_Order,Code_Rate,Nominal_Spectral_Efficiency,Number_Of_Selections,Selection_Probability,Measured_BLER,Average_Effective_SINR_dB
0,4,0.5,1,925,0.578125,0.539594594594595,2.77707269813966
1,4,0.666666666666667,1.33333333333333,190,0.11875,0.0243421052631579,8.04766343734452
2,4,0.75,1.5,190,0.11875,0.0197368421052632,9.23214006495543
3,16,0.5,2,295,0.184375,0.026271186440678,12.676097641716
4,16,0.666666666666667,2.66666666666667,0,0,0,0
5,16,0.75,3,0,0,0,0
6,64,0.5,3,0,0,0,0
7,64,0.666666666666667,4,0,0,0,0
8,64,0.75,4.5,0,0,0,0
