MCS_Index,Modulation_Order,Code_Rate,Nominal_Spectral_Efficiency,Number_Of_Selections,Selection_Probability,Measured_BLER,Average_Effective_SINR_dB
0,4,0.5,1,884,0.5525,0.572186085972851,2.49811718803243
1,4,0.666666666666667,1.33333333333333,127,0.079375,0.0123031496062992,7.84079394157037
2,4,0.75,1.5,246,0.15375,0.0129573170731707,9.14496554824529
3,16,0.5,2,338,0.21125,0.0151627218934911,12.3783969655416
4,16,0.666666666666667,2.66666666666667,5,0.003125,0.1125,14.0817443095235
5,16,0.75,3,0,0,0,0
6,64,0.5,3,0,0,0,0
7,64,0.666666666666667,4,0,0,0,0
8,64,0.75,4.5,0,0,0,0
